date,implied_correlation,implied_correlation_3m,implied_correlation_6m,dispersion_index,index_iv,trailing_realized_correlation,forward_realized_correlation,identity_realized_correlation,correlation_spread,correlation_premium,constituents_used,in_sample,spread_mean_lagged,spread_sd_lagged,spread_zscore,signal
2022-07-08,0.3724,0.4593,0.48200000000000004,0.33770000000000006,0.2464,0.50384070630103,0.31601850065082393,0.5281181064003385,-0.13144070630102994,0.05638149934917608,46,False,0.0400119838338034,0.09113113809318146,-1.8813842745991298,long_correlation
2022-07-11,0.3954,0.4696,0.48969999999999997,0.353,0.26170000000000004,0.5039445574121217,0.30884974426141415,0.5285599094822362,-0.10854455741212177,0.08655025573858582,46,False,0.03959910237481027,0.09167184217187414,-1.6160214115603757,long_correlation
2022-07-12,0.4071,0.4668,0.48979999999999996,0.3574,0.2729,0.504382101224694,0.32029703663099146,0.529849309045865,-0.09728210122469394,0.08680296336900856,46,False,0.039681716000433465,0.09152823690466175,-1.496410527035417,long_correlation
2022-07-13,0.4073,0.46590000000000004,0.4879,0.35229999999999995,0.2682,0.5069857567439631,0.3142064758380881,0.5321159302524546,-0.09968575674396307,0.09309352416191191,46,False,0.03973045086155207,0.0914516913356769,-1.52447926953896,long_correlation
2022-07-14,0.4008,0.4675,0.49079999999999996,0.3488,0.264,0.5074453237258268,0.33332360349879797,0.5317814557283225,-0.10664532372582686,0.06747639650120202,46,False,0.039587005476756434,0.09164246727287806,-1.5956830228845367,long_correlation
2022-07-15,0.3586,0.4518,0.48450000000000004,0.3394,0.24230000000000002,0.5102224632583329,0.3181795281374352,0.5338661763926004,-0.1516224632583329,0.040420471862564755,46,False,0.03946925273925697,0.09181173959323286,-2.081342939848562,long_correlation
2022-07-18,0.3722,0.4542,0.48590000000000005,0.3457,0.253,0.5143232115319035,0.29431822923008677,0.5395565401561825,-0.14212321153190355,0.0778817707699132,46,False,0.03909400064711745,0.0923992106182901,-1.9612419951036864,long_correlation
2022-07-19,0.374,0.46240000000000003,0.48719999999999997,0.3345,0.245,0.5190835515196475,0.2695889988225274,0.5449095745931942,-0.14508355151964747,0.1044110011774726,46,False,0.03860099396725552,0.09303370648480323,-1.9743870520401903,long_correlation
2022-07-20,0.3771,0.4514,0.47609999999999997,0.33149999999999996,0.23879999999999998,0.5046438918613317,0.2695669660199946,0.5322232450881527,-0.12754389186133175,0.10753303398000541,46,False,0.037784856177505335,0.09373952743322404,-1.7637036644611854,long_correlation
2022-07-21,0.3497,0.4353,0.46340000000000003,0.32630000000000003,0.2311,0.5055993954377328,0.2858176705974592,0.532922763052636,-0.1558993954377328,0.0638823294025408,46,False,0.03726366687596454,0.09429274870022684,-2.048546308982852,long_correlation
2022-07-22,0.3232,0.42829999999999996,0.4549,0.3275,0.2303,0.49562372387644704,0.3477005381940416,0.5208354473263891,-0.17242372387644705,-0.024500538194041632,46,False,0.03684560786739203,0.09491511580945658,-2.2048051035827654,long_correlation
2022-07-25,0.3261,0.41600000000000004,0.4511,0.3357,0.2336,0.5002449257696809,0.35307381718881664,0.5249521596889054,-0.17414492576968094,-0.02697381718881664,46,False,0.03635221785811322,0.09567847524210188,-2.2000470126134286,long_correlation
2022-07-26,0.3455,0.4203,0.4545,0.3397,0.2469,0.49025215332223143,0.36927096241254076,0.5167734746586894,-0.14475215332223146,-0.023770962412540786,46,False,0.036038466690619685,0.09623918030754511,-1.8785552769164353,long_correlation
2022-07-27,0.3971,0.4443,0.4706,0.2993,0.2324,0.47694765517206095,0.37169511778145153,0.5063478606543202,-0.07984765517206094,0.025404882218548475,46,False,0.03580261622832164,0.0966098824196214,-1.1970853136748472,long_correlation
2022-07-28,0.3837,0.4253,0.4606,0.2807,0.22329999999999997,0.4797869878211584,0.48842235932578976,0.5076482533991862,-0.09608698782115843,-0.10472235932578977,46,False,0.035641951008507734,0.0967689134077852,-1.361273307622656,long_correlation
2022-07-29,0.395,0.4336,0.46,0.2626,0.2133,0.46986360942016736,0.5187690793378454,0.49712741497090324,-0.07486360942016734,-0.12376907933784542,46,False,0.03532219179861457,0.09707126262772087,-1.1351021737644102,long_correlation
2022-08-01,0.41859999999999997,0.4425,0.4668,0.2773,0.2284,0.45218738322378066,0.5383835804220136,0.48101762355152605,-0.03358738322378069,-0.11978358042201365,46,False,0.03505014009674097,0.097284231413486,-0.7055359570945513,no_trade
2022-08-02,0.45130000000000003,0.46009999999999995,0.4802,0.2814,0.23929999999999998,0.4383076165558326,0.5483023433104175,0.462767937542033,0.012992383444167421,-0.09700234331041746,46,False,0.0347859632287449,0.09738020326058018,-0.22379887343488009,no_trade
2022-08-03,0.41840000000000005,0.4346,0.4594,0.2753,0.2195,0.44011325785181243,0.537025750476594,0.4641653546187676,-0.021713257851812384,-0.1186257504765939,46,False,0.0344687696362989,0.09732023656045696,-0.5772902889853753,no_trade
2022-08-04,0.391,0.4236,0.4535,0.2776,0.2144,0.4348222570715403,0.5606171928736315,0.45458550032813255,-0.043822257071540305,-0.16961719287363153,46,False,0.03428900611383632,0.09738223466451175,-0.8021099891009391,no_trade
2022-08-05,0.397,0.4336,0.4633,0.2666,0.2115,0.43740162124378246,0.559497219159005,0.4572837310166963,-0.04040162124378244,-0.16249721915900495,46,False,0.034042356660406406,0.09750144884544722,-0.7635166326829919,no_trade
2022-08-08,0.3849,0.4335,0.46619999999999995,0.2725,0.21289999999999998,0.439548284675739,0.577877869176986,0.45847883879657575,-0.054648284675738956,-0.192977869176986,46,False,0.03377719211566296,0.09761306140010985,-0.9058775078157973,long_correlation
2022-08-09,0.40049999999999997,0.4354,0.46840000000000004,0.278,0.2177,0.43977248399235586,0.5894053799701304,0.45846926916411757,-0.03927248399235589,-0.18890537997013046,46,False,0.03348898160897675,0.09776698768335385,-0.7442334813157108,no_trade
2022-08-10,0.3788,0.4194,0.4582,0.2561,0.1974,0.44158633763704563,0.582080927157803,0.4592704581404351,-0.06278633763704561,-0.203280927157803,46,False,0.03316917984168973,0.09787302786453708,-0.9804081836677649,long_correlation
2022-08-11,0.38049999999999995,0.41159999999999997,0.4525,0.259,0.20199999999999999,0.44036136053259034,0.6014600971426965,0.4584595277574172,-0.05986136053259039,-0.2209600971426966,46,False,0.0326864423988386,0.09804564478619858,-0.9439256902562234,long_correlation
